company,tier,industry,size,location,careers_url,why,status,known_contacts,notes
McKinsey & Company,A,consulting,2000+,Mumbai / Bangalore,https://www.mckinsey.com/careers,Social sector and healthcare practice — closest bridge from philanthropic capital to for-profit strategy,watching,,Named by Nikita. YIF is a recognised signal here
Bain & Company,A,consulting,2000+,Mumbai / Bangalore,https://www.bain.com/careers,Social Impact practice; healthcare vertical,watching,,Named by Nikita
Boston Consulting Group,A,consulting,2000+,Mumbai / Bangalore,https://careers.bcg.com,Social Impact and healthcare practice,watching,,Named by Nikita
2070 Health,A,healthcare venture studio,50-200,Bangalore,https://2070health.com,Healthcare venture building — direct match to programme design plus diligence experience,watching,,Named by Nikita. Validate open roles
Quadria Capital,A,healthcare PE,50-200,Singapore / Mumbai,https://quadriacapital.com,Healthcare-dedicated private equity across Asia,watching,,Named by Nikita. Validate open roles
HealthQuad,B,healthcare VC,<50,Delhi NCR,,Healthcare-focused venture fund in India,watching,,SUGGESTION — validate before pursuing
Elevar Equity,B,impact VC,<50,Bangalore,,Impact investing with a financial-return lens; bridges philanthropic and commercial capital,watching,,SUGGESTION — validate
Ankur Capital,B,early-stage VC,<50,Mumbai,,Deep-tech and impact early stage; health among its themes,watching,,SUGGESTION — validate
Aavishkaar Capital,B,impact VC,50-200,Mumbai,,Impact investing at scale in India,watching,,SUGGESTION — validate
Dalberg Advisors,B,strategy consulting,500-2000,Mumbai,https://dalberg.com/careers,Global development strategy — very close adjacency to current work,watching,,SUGGESTION — validate
Sattva Consulting,B,impact consulting,200-500,Bangalore,,Social impact consulting; strong India footprint,watching,,SUGGESTION — validate
ZS Associates,B,healthcare consulting,2000+,Pune / Bangalore,,Healthcare and life sciences consulting,watching,,SUGGESTION — validate
IQVIA,B,healthcare analytics,2000+,Bangalore,,Healthcare data and consulting,watching,,SUGGESTION — validate
Innovaccer,B,healthtech,500-2000,Bangalore,,Healthcare data platform; founders office and strategy roles,watching,,SUGGESTION — validate
Qure.ai,B,AI diagnostics,200-500,Mumbai,,AI diagnostics — direct overlap with health-tech and AI diagnostics evaluation experience,watching,,SUGGESTION — strong domain fit
Tata 1mg,C,healthtech,2000+,Gurgaon / Bangalore,,Healthcare commerce and diagnostics; Tata group affiliation may ease the internal move,watching,,SUGGESTION — validate whether Tata affiliation helps or complicates
Bridgespan Group,A,social impact consulting,500-2000,Mumbai / Delhi,bridgespan.org/careers-at-bridgespan,"Consultant band is 2-6 yrs and explicitly names 'a reputed nonprofit or social sector impact organisation' as a qualifying path; preferred education lists PGD, which she holds",watching,,"2026 Consultant cycle reported complete — check the 2027 cycle directly. Non-profit, so transition value is the cost"
HealthQuad,A,healthcare VC,<50,New Delhi,healthquad.com,"India's leading healthcare-focused VC, ~$280M AUM, 14 portfolio cos. Posted investment role covers deal evaluation + portfolio monitoring — her job in a fund",no-openings,,"Posted role is framed pre-MBA at 2-3 yrs, below her band. Cold outreach is the play, on the Cent/Kae pattern"
Lightroad,B,impact investing,<50,New Delhi,,"Impact finance fund with two live roles: Analyst - Impact Finance, and Manager - Strategic Partnerships",watching,,Both posted Sept 2026 — read the JDs before scoring
Aavishkaar Capital,B,impact investing,50-200,Mumbai,aavishkaar.in,One of India's oldest impact funds. Diligence on organisations and management teams is the screen she passes,watching,,No posting checked yet
Omnivore,B,impact VC (agri/food),<50,Mumbai,omnivore.vc,Impact VC where development-sector diligence is a credential rather than a gap,watching,,Agri-food focus — domain is a stretch from healthcare
Ankur Capital,B,impact VC,<50,Mumbai,ankurcapital.com,Early-stage impact fund; health and agri portfolio,watching,,
Social Alpha,B,impact / incubation,50-200,Bangalore,socialalpha.org,Science and tech incubator with a health portfolio; overlaps her technology-pilot evidence work,watching,,
British International Investment,A,development finance,500-2000,New Delhi / Mumbai,bii.co.uk/en/careers,DFI deploying capital for return with an impact mandate — the clearest answer to the grant-making-vs-investing distinction,watching,,UK-government owned. Check India office hiring and whether roles are IST
W Health Ventures,B,healthcare VC,<50,Mumbai / Bangalore,whealthventures.com,"Early-stage healthcare fund, India-focused, 'found and fund' model",watching,,
Somerset Indus Capital,B,healthcare PE,<50,Mumbai (Worli),somersetinduscap.com,Healthcare-dedicated India PE. Mumbai P0,watching,,
Sattva Consulting,B,social impact consulting,200-500,Mumbai,sattva.co.in,"Live role: Senior Consultant, CSR Advisory, Mumbai. India-market social impact advisory",watching,,
Athena Infonomics / APLYD,C,development data & AI consulting,50-200,Delhi,athenainfonomics.com,"~10 open roles Sept 2026 under APLYD, doing AI in public systems for governments, multilaterals and DFIs",passed,,"Closest role (Manager, AI & Digital Transformation) requires having shipped a digital product and is rural-livelihoods focused, not health. Watch for a health-domain opening"
Kepler Aero,C,space infrastructure,<50,India,kepleraero.com,"Ground stations, satellite subsystems, mission ops. No openings but the careers page explicitly invites profiles",watching,,"VERIFY which Kepler she means - at least two unrelated companies use the name, incl one in Midland, Texas"
Bellatrix Aerospace,B,space propulsion,50-200,Bengaluru,bellatrix.aero,Founder's office open Sept 2026; $32M raised; expanding to the US,watching,,Asks 6-10 yrs against her 4y2m
Alteon,B,aviation deep-tech,<50,Bengaluru,alteon.co,"$2.5M pre-seed led by Lachy Groom Aug 2026; 20 people, no commercial function, and a government-facing application set",watching,"Samay Sanghvi (founder, connected)",Aviation not space. Money earmarked for engineering hires
